-------------------- RUN  ------------------
Best GA fitness: 240.791251946
GA fitness per 10, 50, 100, 200: 240.791251946 240.791251946 240.791251946 240.791251946 
WOC fitness per 10, 50, 100, 200: 207.0387745 240.791251946 235.500652584 240.791251946 
GA times per 10, 50, 100, 200: 0.222106933594 0.209413051605 0.209659099579 0.204579114914 
Aggregation times per 10, 50, 100, 200: 0.000416994094849 0.000397920608521 0.000400066375732 0.000394105911255 
-------------------- RUN  ------------------
Best GA fitness: 240.791251946
GA fitness per 10, 50, 100, 200: 240.791251946 240.791251946 240.791251946 240.791251946 
WOC fitness per 10, 50, 100, 200: 235.500652584 240.791251946 240.791251946 240.791251946 
GA times per 10, 50, 100, 200: 0.219418048859 0.229143857956 0.229538917542 0.224177122116 
Aggregation times per 10, 50, 100, 200: 0.000378131866455 0.000385046005249 0.000385046005249 0.000386953353882 
-------------------- RUN  ------------------
Best GA fitness: 240.791251946
GA fitness per 10, 50, 100, 200: 240.791251946 240.791251946 240.791251946 240.791251946 
WOC fitness per 10, 50, 100, 200: 240.791251946 240.791251946 240.791251946 240.791251946 
GA times per 10, 50, 100, 200: 0.206387042999 0.211749076843 0.206446886063 0.212062835693 
Aggregation times per 10, 50, 100, 200: 0.000392913818359 0.000393867492676 0.000419855117798 0.000398874282837 
