-------------------- RUN  ------------------
Best GA fitness: 9363.30178903
GA fitness per 10, 50, 100, 200: 7713.62690414 9088.28586648 9363.30178903 9363.30178903 
WOC fitness per 10, 50, 100, 200: 8206.54468081 9068.35353823 9363.30178903 9363.30178903 
GA times per 10, 50, 100, 200: 2.37311506271 2.38175106049 2.38832306862 2.41767311096 
Aggregation times per 10, 50, 100, 200: 0.00396108627319 0.0038890838623 0.00355696678162 0.00348401069641 
-------------------- RUN  ------------------
Best GA fitness: 9388.45054055
GA fitness per 10, 50, 100, 200: 8199.67639471 9388.45054055 9388.45054055 9388.45054055 
WOC fitness per 10, 50, 100, 200: 8547.4682467 9388.45054055 9388.45054055 9388.45054055 
GA times per 10, 50, 100, 200: 2.36951589584 2.4283311367 2.47901296616 2.45477986336 
Aggregation times per 10, 50, 100, 200: 0.00427508354187 0.00344586372375 0.0035707950592 0.0034511089325 
-------------------- RUN  ------------------
Best GA fitness: 9221.83473482
GA fitness per 10, 50, 100, 200: 7825.99131266 8828.84530318 8946.76948669 9221.83473482 
WOC fitness per 10, 50, 100, 200: 8214.58436772 8828.84530318 8874.69715829 9159.58991715 
GA times per 10, 50, 100, 200: 2.33334898949 2.47752904892 2.49775099754 2.54831886292 
Aggregation times per 10, 50, 100, 200: 0.00404214859009 0.00369095802307 0.0034339427948 0.00349402427673 
