-------------------- RUN  ------------------
Best GA fitness: 240.791251946
GA fitness per 10, 50, 100, 200: 240.791251946 240.791251946 240.791251946 240.791251946 
WOC fitness per 10, 50, 100, 200: 238.031652018 240.791251946 240.791251946 240.791251946 
GA times per 10, 50, 100, 200: 0.224951028824 0.225345134735 0.227779865265 0.228267192841 
Aggregation times per 10, 50, 100, 200: 0.000424861907959 0.000404834747314 0.000385046005249 0.000388860702515 
-------------------- RUN  ------------------
Best GA fitness: 240.791251946
GA fitness per 10, 50, 100, 200: 240.791251946 240.791251946 240.791251946 240.791251946 
WOC fitness per 10, 50, 100, 200: 204.382739626 235.500652584 240.791251946 240.791251946 
GA times per 10, 50, 100, 200: 0.211354970932 0.22626209259 0.218579053879 0.238164186478 
Aggregation times per 10, 50, 100, 200: 0.000386953353882 0.000382900238037 0.000383853912354 0.000382900238037 
-------------------- RUN  ------------------
Best GA fitness: 240.791251946
GA fitness per 10, 50, 100, 200: 240.791251946 240.791251946 240.791251946 240.791251946 
WOC fitness per 10, 50, 100, 200: 235.500652584 240.791251946 240.791251946 240.791251946 
GA times per 10, 50, 100, 200: 0.224123954773 0.226081132889 0.22584605217 0.23091006279 
Aggregation times per 10, 50, 100, 200: 0.0003981590271 0.000382900238037 0.000386953353882 0.000380039215088 
