-------------------- RUN  ------------------
Best GA fitness: 240.791251946
GA fitness per 10, 50, 100, 200: 240.791251946 240.791251946 240.791251946 240.791251946 
WOC fitness per 10, 50, 100, 200: 227.272205281 240.791251946 240.791251946 240.791251946 
GA times per 10, 50, 100, 200: 0.236529827118 0.221415042877 0.221711158752 0.220043182373 
Aggregation times per 10, 50, 100, 200: 0.000396013259888 0.00040602684021 0.000381946563721 0.000382900238037 
-------------------- RUN  ------------------
Best GA fitness: 240.791251946
GA fitness per 10, 50, 100, 200: 240.791251946 240.791251946 240.791251946 240.791251946 
WOC fitness per 10, 50, 100, 200: 229.584931044 240.791251946 240.791251946 240.791251946 
GA times per 10, 50, 100, 200: 0.219871997833 0.209403038025 0.218990802765 0.221767902374 
Aggregation times per 10, 50, 100, 200: 0.000434160232544 0.000380039215088 0.000385046005249 0.000382900238037 
-------------------- RUN  ------------------
Best GA fitness: 240.791251946
GA fitness per 10, 50, 100, 200: 240.791251946 240.791251946 240.791251946 240.791251946 
WOC fitness per 10, 50, 100, 200: 214.651753972 215.413666388 237.197910515 220.704265749 
GA times per 10, 50, 100, 200: 0.216429948807 0.219695806503 0.227562904358 0.222341060638 
Aggregation times per 10, 50, 100, 200: 0.000406980514526 0.000387907028198 0.000415086746216 0.000396013259888 
