-------------------- RUN  ------------------
Best GA fitness: 229.151894651
GA fitness per 10, 50, 100, 200: 229.151894651 229.151894651 229.151894651 229.151894651 
WOC fitness per 10, 50, 100, 200: 223.98104628 226.09974401 229.151894651 229.151894651 
GA times per 10, 50, 100, 200: 0.284382104874 0.283245801926 0.285152196884 0.277941942215 
Aggregation times per 10, 50, 100, 200: 0.00049901008606 0.000501871109009 0.000498056411743 0.000471115112305 
-------------------- RUN  ------------------
Best GA fitness: 229.151894651
GA fitness per 10, 50, 100, 200: 229.151894651 229.151894651 229.151894651 229.151894651 
WOC fitness per 10, 50, 100, 200: 222.431721707 229.151894651 229.151894651 220.869820889 
GA times per 10, 50, 100, 200: 0.277793884277 0.283502101898 0.294831991196 0.279147863388 
Aggregation times per 10, 50, 100, 200: 0.000493049621582 0.000473976135254 0.000565052032471 0.000469923019409 
-------------------- RUN  ------------------
Best GA fitness: 229.151894651
GA fitness per 10, 50, 100, 200: 229.151894651 229.151894651 229.151894651 229.151894651 
WOC fitness per 10, 50, 100, 200: 225.483872348 229.151894651 225.483872348 229.151894651 
GA times per 10, 50, 100, 200: 0.27038192749 0.272374153137 0.268765926361 0.271179914474 
Aggregation times per 10, 50, 100, 200: 0.000449895858765 0.000442028045654 0.000494003295898 0.000458955764771 
