-------------------- RUN  ------------------
Best GA fitness: 347.549241667
GA fitness per 10, 50, 100, 200: 347.549241667 347.549241667 347.549241667 347.549241667 
WOC fitness per 10, 50, 100, 200: 347.479662772 305.324428278 347.549241667 336.902062808 
GA times per 10, 50, 100, 200: 0.200759887695 0.204996824265 0.189619064331 0.183103084564 
Aggregation times per 10, 50, 100, 200: 0.000358104705811 0.000380039215088 0.000357151031494 0.000393867492676 
-------------------- RUN  ------------------
Best GA fitness: 347.549241667
GA fitness per 10, 50, 100, 200: 347.549241667 347.549241667 347.549241667 347.549241667 
WOC fitness per 10, 50, 100, 200: 303.435461211 336.902062808 303.944673679 336.902062808 
GA times per 10, 50, 100, 200: 0.200932025909 0.205493927002 0.202904939651 0.202836990356 
Aggregation times per 10, 50, 100, 200: 0.000345945358276 0.000410079956055 0.000366926193237 0.000348091125488 
-------------------- RUN  ------------------
Best GA fitness: 347.549241667
GA fitness per 10, 50, 100, 200: 347.549241667 347.549241667 347.549241667 347.549241667 
WOC fitness per 10, 50, 100, 200: 347.549241667 336.902062808 336.902062808 347.549241667 
GA times per 10, 50, 100, 200: 0.199157953262 0.200092077255 0.209758996964 0.201702833176 
Aggregation times per 10, 50, 100, 200: 0.000369071960449 0.000406980514526 0.000351190567017 0.00034499168396 
