-------------------- RUN  ------------------
Best GA fitness: 2191.65726562
GA fitness per 10, 50, 100, 200: 2178.39860523 2178.39860523 2178.39860523 2191.65726562 
WOC fitness per 10, 50, 100, 200: 2053.46401417 2146.29890142 2178.39860523 2126.55635183 
GA times per 10, 50, 100, 200: 0.552644968033 0.564186096191 0.568644046783 0.558449983597 
Aggregation times per 10, 50, 100, 200: 0.000852108001709 0.000919103622437 0.000872135162354 0.000907897949219 
-------------------- RUN  ------------------
Best GA fitness: 2178.39860523
GA fitness per 10, 50, 100, 200: 2164.64926343 2178.39860523 2178.39860523 2178.39860523 
WOC fitness per 10, 50, 100, 200: 2018.16727175 2112.65324852 2146.29890142 2146.29890142 
GA times per 10, 50, 100, 200: 0.514395952225 0.556272983551 0.566148042679 0.57396197319 
Aggregation times per 10, 50, 100, 200: 0.000936985015869 0.000875949859619 0.000864028930664 0.000932931900024 
-------------------- RUN  ------------------
Best GA fitness: 2191.65726562
GA fitness per 10, 50, 100, 200: 2153.61044666 2191.65726562 2191.65726562 2191.65726562 
WOC fitness per 10, 50, 100, 200: 2060.10703451 2130.77571453 2191.65726562 2191.65726562 
GA times per 10, 50, 100, 200: 0.558286905289 0.544738054276 0.541064023972 0.544192075729 
Aggregation times per 10, 50, 100, 200: 0.000952005386353 0.00089693069458 0.000915050506592 0.000892162322998 
